rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
451,CMS Energy,"$7,538 ",12.80%,"$1,353 ",79.20%,"$28,753 ","$20,292.20 ",-21,"8,813"
452,Arconic,"$7,504 ",32.20%,($397),-,"$6,580 ","$2,690.70 ",24,"13,900"
453,Taylor Morrison Home,"$7,501.30 ",22.40%,$663 ,172.40%,"$8,727.80 ","$3,301.60 ",-1,"3,000"
454,American Financial Group,"$7,462 ",-5.70%,"$1,995 ",172.50%,"$28,931 ","$12,367.80 ",-78,"6,600"
455,UGI,"$7,447 ",13.50%,"$1,467 ",175.80%,"$16,723 ","$7,599.10 ",-19,"11,300"
456,Science Applications International,"$7,394 ",4.80%,$277 ,32.50%,"$5,746 ","$5,166.10 ",-44,"25,090"
457,Avantor,"$7,386.10 ",15.50%,$572.60 ,391.10%,"$13,897.20 ","$20,629.10 ",-19,"13,500"
458,Hanesbrands,"$7,347.80 ",10.30%,$77.20 ,-,"$7,071.40 ","$5,191.40 ",-26,"58,000"
459,Clorox,"$7,341 ",9.20%,$710 ,-24.40%,"$6,334 ","$17,108.70 ",-32,"9,000"
460,KBR,"$7,339 ",27.30%,$18 ,-,"$6,199 ","$7,634.90 ",10,"28,000"
461,TravelCenters of America,"$7,336.80 ",51.40%,$58.50 ,-,"$3,508.50 ",$637.50 ,79,"16,540"
462,Hertz Global Holdings,"$7,336 ",39.50%,$366 ,-,"$19,783 ","$9,508.90 ",46,"23,000"
463,Analog Devices,"$7,318.30 ",30.60%,"$1,390.40 ",13.90%,"$52,322.10 ","$86,441.20 ",18,"24,700"
464,Securian Financial Group,"$7,317.40 ",6.50%,$311.50 ,28.10%,"$75,169.40 ",-,-43,"6,941"
465,Darden Restaurants,"$7,196.10 ",-7.80%,$629.30 ,-,"$10,656.10 ","$16,980.90 ",-88,"156,883"
466,Graphic Packaging Holding,"$7,156 ",9.10%,$204 ,21.90%,"$10,457 ","$6,154.40 ",-31,"25,000"
466,NCR,"$7,156 ",15.30%,$97 ,-,"$11,641 ","$5,474.70 ",-20,"38,000"
468,Brighthouse Financial,"$7,142 ",-16%,($108),-,"$259,840 ","$3,958.70 ",-115,"1,500"
469,PPL,"$7,127 ",-6.30%,"($1,480)",-200.70%,"$33,223 ","$21,001.90 ",-87,"5,607"
470,Cintas,"$7,116.30 ",0.40%,"$1,111 ",26.80%,"$8,236.80 ","$43,566.70 ",-60,"40,000"
471,Xerox Holdings,"$7,038 ",0.20%,($455),-337%,"$13,223 ","$3,123.30 ",-56,"23,300"
472,Rockwell Automation,"$6,997.40 ",10.50%,"$1,358.10 ",32.70%,"$10,701.60 ","$32,538.40 ",-32,"24,500"
473,Citizens Financial Group,"$6,986 ",-9%,"$2,319 ",119.40%,"$188,409 ","$19,135.70 ",-92,"17,463"
474,KLA,"$6,918.70 ",19.20%,"$2,078.30 ",70.80%,"$10,271.10 ","$55,170.90 ",-6,"11,425"
475,Camping World Holdings,"$6,913.80 ",26.90%,$278.50 ,127.60%,"$4,372.90 ","$2,664.60 ",21,"12,834"
476,Ingredion,"$6,894 ",15.10%,$117 ,-66.40%,"$6,999 ","$5,814.20 ",-13,"12,000"
477,Veritiv,"$6,850.50 ",8%,$144.60 ,322.80%,"$2,438.40 ","$2,008 ",-38,"6,100"
478,Beacon Roofing Supply,"$6,820.40 ",-1.80%,$243 ,-,"$5,549.30 ","$4,175.90 ",-58,"6,676"
479,Diamondback Energy,"$6,797 ",141.60%,"$2,182 ",-,"$22,898 ","$24,320 ",302,870
480,Victoria's Secret,"$6,784.60 ",-,$646.40 ,-,"$4,344 ","$4,330.40 ",-,"24,000"
481,Academy Sports and Outdoors,"$6,773.10 ",19.10%,$671.40 ,117.40%,"$4,584.90 ","$3,433.50 ",-6,"16,508"
482,Sanmina,"$6,756.60 ",-2.90%,$269 ,92.50%,"$4,206.70 ","$2,569 ",-64,"33,500"
483,ON Semiconductor,"$6,739.80 ",28.30%,"$1,009.60 ",331.10%,"$9,626 ","$27,078.70 ",26,"31,650"
484,Commercial Metals,"$6,729.80 ",22.90%,$412.90 ,47.70%,"$4,638.70 ","$5,056.70 ",8,"11,089"
485,EnLink Midstream,"$6,685.90 ",71.70%,$22.40 ,-,"$8,483.20 ","$4,670.60 ",145,"1,073"
486,Southwestern Energy,"$6,667 ",188.90%,($25),-,"$11,848 ","$7,989.70 ",407,938
487,Equinix,"$6,635.50 ",10.60%,$500.20 ,35.30%,"$27,918.70 ","$67,280.50 ",-26,"10,944"
488,Dillard's,"$6,624.30 ",49.40%,$862.50 ,-,"$3,245.60 ","$4,928.20 ",97,"25,350"
489,Regions Financial,"$6,605 ",-0.80%,"$2,521 ",130.40%,"$162,938 ","$20,860.90 ",-55,"19,626"
490,Yum Brands,"$6,584 ",16.50%,"$1,575 ",74.20%,"$5,966 ","$34,252.90 ",-12,"25,650"
491,Landstar System,"$6,540.40 ",58.10%,$381.50 ,98.60%,"$2,045.50 ","$5,600 ",115,"1,399"
492,CF Industries Holdings,"$6,538.30 ",58.50%,$917.10 ,189.30%,"$12,375.20 ","$21,551.30 ",117,"3,003"
493,Northern Trust,"$6,488.30 ",3%,"$1,545.30 ",27.80%,"$183,889.80 ","$24,215.10 ",-50,"21,100"
494,Robert Half International,"$6,461.40 ",26.50%,$598.60 ,95.50%,"$2,952.40 ","$12,638.10 ",25,"14,600"
495,Compass,"$6,421 ",72.60%,($494.10),-,"$1,800.60 ","$3,358.80 ",151,"4,775"
496,Hasbro,"$6,420.40 ",17.50%,$428.70 ,92.70%,"$10,037.80 ","$11,383.60 ",-2,"6,640"
497,Roper Technologies,"$6,415.80 ",16.10%,"$1,152.60 ",21.40%,"$23,713.90 ","$49,868.80 ",-9,"19,300"
498,ARKO,"$6,412.60 ",88.10%,$59.20 ,348.90%,"$2,942.30 ","$1,133.90 ",183,"11,236"
499,Frontier Communications,"$6,411 ",-10.40%,-,-,"$16,481 ","$6,763.10 ",-97,"15,640"
500,Ameren,"$6,394 ",10.40%,$990 ,13.70%,"$35,735 ","$24,198.70 ",-31,"9,116"
501,O-I Glass,"$6,357 ",4.40%,$149 ,-40.20%,"$8,832 ","$2,058 ",-46,"24,000"
502,Chemours,"$6,345 ",27.70%,$608 ,177.60%,"$7,550 ","$5,015 ",25,"6,400"
503,Crown Castle International,"$6,340 ",8.60%,"$1,096 ",3.80%,"$39,040 ","$79,937.30 ",-36,"5,000"
504,Agilent Technologies,"$6,319 ",18.40%,"$1,210 ",68.30%,"$10,705 ","$39,714 ",-2,"17,000"
505,McCormick,"$6,317.90 ",12.80%,$755.30 ,1.10%,"$12,905.80 ","$26,754 ",-23,"14,000"
506,Skechers U.S.A.,"$6,310.20 ",36.80%,$741.50 ,652.30%,"$6,491.30 ","$6,360.40 ",52,"8,950"
507,Watsco,"$6,280.20 ",24.20%,$418.90 ,55.40%,"$3,085.90 ","$11,842.60 ",17,"6,875"
508,Live Nation Entertainment,"$6,268.40 ",236.80%,($650.90),-,"$14,402.30 ","$26,425 ",486,"16,200"
509,Lululemon athletica,"$6,256.60 ",42.10%,$975.30 ,65.60%,"$4,942.50 ","$46,717.80 ",78,"29,000"
510,ABM Industries,"$6,228.60 ",4%,$126.30 ,42000%,"$4,436.20 ","$3,078.70 ",-48,"124,000"
511,Post Holdings,"$6,226.70 ",9.30%,$166.70 ,20737.50%,"$12,414.70 ","$4,284.40 ",-37,"10,735"
512,Moody's,"$6,218 ",15.80%,"$2,214 ",24.50%,"$14,680 ","$62,548.10 ",-12,"13,460"
513,Select Medical Holdings,"$6,204.50 ",12.20%,$402.20 ,55.30%,"$7,360.20 ","$3,208.60 ",-26,"43,200"
514,Alaska Air Group,"$6,176 ",73.20%,$478 ,-,"$13,951 ","$7,314.30 ",147,"21,691"
515,Big Lots,"$6,150.60 ",-0.80%,$177.80 ,-71.70%,"$3,927.30 ",$988.10 ,-66,"23,350"
516,Amkor Technology,"$6,138.30 ",21.50%,$643 ,90.20%,"$6,038.60 ","$5,313 ",9,"30,400"
517,Sinclair Broadcast Group,"$6,134 ",3.20%,($414),-,"$12,541 ","$2,008.10 ",-52,"11,500"
518,RPM International,"$6,106.30 ",10.90%,$502.60 ,65.10%,"$6,253 ","$10,560.80 ",-29,"15,490"
519,M&T Bank,"$6,105.80 ",-2.80%,"$1,858.70 ",37.40%,"$155,107.20 ","$21,875 ",-75,"17,342"
520,Sprouts Farmers Market,"$6,099.90 ",-5.70%,$244.20 ,-15.10%,"$2,923.10 ","$3,546.80 ",-83,"31,000"
521,Huntington Bancshares,"$6,080 ",16.10%,"$1,295 ",58.50%,"$174,064 ","$21,123.40 ",-11,"18,442"
522,CACI International,"$6,044.10 ",5.70%,$457.40 ,42.30%,"$6,172.40 ","$7,051.20 ",-49,"22,000"
523,JetBlue Airways,"$6,037 ",104.20%,($182),-,"$13,642 ","$4,786.90 ",229,"17,459"
524,SVB Financial Group,"$6,027 ",47.70%,"$1,833 ",51.70%,"$211,478 ","$32,901 ",89,"6,567"
525,Fastenal,"$6,010.90 ",6.40%,$925 ,7.70%,"$4,299 ","$34,187.90 ",-46,"18,370"
526,GameStop,"$6,010.70 ",18.10%,($381.30),-,"$3,499.30 ","$12,716.60 ",-5,"22,500"
527,Knight-Swift Transportation Holdings,"$5,998 ",28.30%,$743.40 ,81.30%,"$10,655.50 ","$8,386 ",24,"27,650"
528,Airbnb,"$5,991.80 ",77.40%,($352),-,"$13,708.50 ","$110,419.90 ",160,"6,132"
529,Patterson,"$5,912.10 ",7.70%,$156 ,-,"$2,751.50 ","$3,160 ",-38,"7,800"
530,Penn National Gaming,"$5,905 ",65%,$420.80 ,-,"$16,872.10 ","$7,140.20 ",129,"21,973"
531,ServiceNow,"$5,896 ",30.50%,$230 ,94.10%,"$10,798 ","$111,378 ",39,"16,881"
532,Nasdaq,"$5,886 ",4.60%,"$1,187 ",27.20%,"$20,115 ","$29,298.20 ",-52,"5,814"
533,Brunswick,"$5,846.20 ",34.50%,$593.30 ,59.20%,"$5,425 ","$6,197.30 ",59,"18,582"
534,Resideo Technologies,"$5,846 ",15.30%,$242 ,554.10%,"$5,853 ","$3,455.80 ",-11,"13,300"
535,Chesapeake Energy,"$5,809 ",11.50%,-,-,"$11,009 ","$11,135.90 ",-22,"1,300"
536,Petco Health and Wellness,"$5,807.10 ",18%,$164.40 ,-,"$6,497.90 ","$5,930.20 ",-5,"28,495"
537,Kemper,"$5,793 ",11.30%,($120.50),-129.40%,"$14,916.50 ","$3,606 ",-23,"10,300"
538,Hilton Worldwide Holdings,"$5,788 ",34.40%,$410 ,-,"$15,441 ","$42,356.60 ",58,"142,000"
539,Cerner,"$5,764.80 ",4.70%,$555.60 ,-28.80%,"$7,434.20 ","$27,492.20 ",-49,"25,150"
540,Levi Strauss,"$5,763.90 ",29.50%,$553.50 ,-,"$5,900.10 ","$7,874.70 ",40,"16,600"
541,Tapestry,"$5,746.30 ",15.80%,$834.20 ,-,"$8,382.40 ","$9,807.20 ",-13,"14,250"
542,NetApp,"$5,744 ",6.10%,$730 ,-10.90%,"$9,360 ","$18,470.50 ",-45,"11,000"
543,KB Home,"$5,724.90 ",36.90%,$564.70 ,90.60%,"$5,835.90 ","$2,858.10 ",60,"2,244"
544,Continental Resources,"$5,719.30 ",121.10%,"$1,661 ",-,"$18,591.10 ","$22,342.40 ",274,"1,254"
545,Intuitive Surgical,"$5,710.10 ",31%,"$1,704.60 ",60.70%,"$13,555 ","$108,361.90 ",46,"9,793"
546,Under Armour,"$5,683.50 ",27%,$360.10 ,-,"$4,991.40 ","$7,712.40 ",32,"12,300"
547,MDU Resources Group,"$5,680.70 ",2.70%,$378.10 ,-3.10%,"$8,910.40 ","$5,419.30 ",-61,"12,826"
548,Silgan Holdings,"$5,677.10 ",15.30%,$359.10 ,16.30%,"$7,770.80 ","$5,104.30 ",-18,"15,720"
549,Ryerson Holding,"$5,675.30 ",63.70%,$294.30 ,-,"$2,365.60 ","$1,344.60 ",127,"4,000"
550,Ingersoll Rand,"$5,655.20 ",15.20%,$562.50 ,-,"$15,154.50 ","$20,541.20 ",-17,"16,000"
551,Hologic,"$5,632.30 ",49.10%,"$1,871.50 ",67.80%,"$8,919.90 ","$19,305.10 ",90,"6,705"
552,Electronic Arts,"$5,629 ",1.70%,$837 ,-72.50%,"$13,288 ","$35,577.40 ",-67,"11,000"
553,Zebra Technologies,"$5,627 ",26.50%,$837 ,66.10%,"$6,215 ","$21,959.10 ",28,"9,800"
554,Coty,"$5,616.20 ",-16.60%,($201.30),-,"$13,691.40 ","$7,540.60 ",-128,"11,430"
555,Schneider National,"$5,608.70 ",23.20%,$405.40 ,91.50%,"$3,937.30 ","$4,551.60 ",10,"17,050"
556,Sonoco Products,"$5,590.40 ",6.70%,($85.50),-141.20%,"$5,073.20 ","$6,099.10 ",-45,"20,500"
557,Concentrix,"$5,587 ",-,$405.60 ,-,"$5,046.40 ","$8,605.20 ",-,"290,000"
558,Evergy,"$5,586.70 ",13.70%,$879.70 ,42.30%,"$28,520.50 ","$15,512.70 ",-26,"4,930"
559,Cornerstone Building Brands,"$5,583.10 ",20.90%,$665.90 ,-,"$5,827.50 ","$3,088.70 ",-2,"21,700"
560,Coca-Cola Consolidated,"$5,562.70 ",11.10%,$189.60 ,9.90%,"$3,445.60 ","$4,657.30 ",-34,"15,050"
561,Greif,"$5,556.10 ",23.10%,$390.70 ,259.10%,"$5,815.80 ","$3,134 ",11,"16,000"
562,Vulcan Materials,"$5,552.20 ",14.30%,$670.80 ,14.80%,"$13,682.60 ","$24,412.70 ",-23,"11,912"
563,Ametek,"$5,546.50 ",22.20%,$990.10 ,13.50%,"$11,898.20 ","$30,787.30 ",3,"18,500"
564,Monster Beverage,"$5,541.40 ",20.50%,"$1,377.50 ",-2.30%,"$7,804.80 ","$42,295.80 ",-2,"3,775"
565,Sealed Air,"$5,533.80 ",12.90%,$506.80 ,0.80%,"$6,229.30 ","$9,920.70 ",-31,"16,500"
566,NOV,"$5,524 ",-9.30%,($250),-,"$9,550 ","$7,700.20 ",-109,"27,043"
567,Las Vegas Sands,"$5,505 ",52.40%,($961),-,"$20,059 ","$29,696.40 ",87,"44,600"
568,Martin Marietta Materials,"$5,493.20 ",16.10%,$702.50 ,-2.60%,"$14,393 ","$24,015.10 ",-22,"10,000"
569,Marathon Oil,"$5,467 ",77.20%,$946 ,-,"$16,994 ","$18,349.50 ",164,"1,531"
570,Mattel,"$5,457.70 ",19.10%,$903 ,613.10%,"$6,393.90 ","$7,823.30 ",-7,"36,300"
571,Microchip Technology,"$5,438.40 ",3.10%,$349.40 ,-38.80%,"$16,478.80 ","$41,777.10 ",-66,"19,500"
572,Harley-Davidson,"$5,336.30 ",31.60%,$650 ,49978.90%,"$11,051.10 ","$6,062.90 ",42,"5,800"
573,Telephone & Data Systems,"$5,329 ",2%,$156 ,-31%,"$13,493 ","$2,163.40 ",-61,"8,800"
574,ADT,"$5,307.10 ",-0.10%,($340.80),-,"$16,894.40 ","$6,843 ",-70,"25,000"
575,First Republic Bank,"$5,305 ",17.70%,"$1,478 ",38.90%,"$181,087 ","$29,113.60 ",-1,"6,295"
576,Warner Music Group,"$5,301 ",18.80%,$304 ,-,"$7,211 ","$19,485.70 ",3,"5,900"
577,Pool,"$5,295.60 ",34.50%,$650.60 ,77.40%,"$3,230.10 ","$16,967.10 ",47,"5,650"
578,Old Dominion Freight Line,"$5,256.30 ",30.90%,"$1,034.40 ",53.80%,"$4,821.50 ","$34,307.50 ",41,"23,663"
579,Fortive,"$5,254.70 ",13.40%,$608.40 ,-62.30%,"$16,465.50 ","$21,877.90 ",-23,"18,000"
580,MDC Holdings,"$5,254.70 ",34.70%,$573.70 ,56.10%,"$4,963.50 ","$2,692.70 ",49,"2,080"
581,NGL Energy Partners,"$5,243.20 ",-73.50%,($639.80),-,"$5,947.30 ",$288.60 ,-430,997
582,Edwards Lifesciences,"$5,232.50 ",19.30%,"$1,503.10 ",82.50%,"$8,502.60 ","$73,141.40 ",7,"15,700"
583,Hanover Insurance Group,"$5,227.80 ",8.30%,$418.70 ,16.70%,"$14,254.30 ","$5,317.90 ",-41,"4,400"
584,Syneos Health,"$5,213 ",18.10%,$234.80 ,21.80%,"$8,237.10 ","$8,436.70 ",2,"27,443"
585,Xylem,"$5,195 ",6.50%,$427 ,68.10%,"$8,276 ","$15,354.70 ",-47,"16,700"
586,Church & Dwight,"$5,190.10 ",6%,$827.50 ,5.30%,"$7,996.50 ","$24,119.10 ",-51,"5,100"
587,American Axle & Manufacturing,"$5,156.60 ",9.50%,$5.90 ,-,"$5,635.70 ",$888.30 ,-40,"18,000"
588,Meritage Homes,"$5,141.30 ",14.20%,$737.40 ,74.10%,"$4,807.50 ","$2,907.30 ",-11,"1,773"
589,Workday,"$5,138.80 ",19%,$29.40 ,-,"$10,498.50 ","$60,583.40 ",5,"15,200"
590,Rush Enterprises,"$5,126.10 ",8.20%,$241.40 ,110.10%,"$3,120 ","$2,788.50 ",-45,"7,141"
591,Yellow,"$5,121.80 ",13.50%,($109.10),-,"$2,425.60 ",$360.30 ,-18,"32,000"
592,Encompass Health,"$5,121.60 ",10.30%,$412.20 ,45%,"$6,864.90 ","$7,071.10 ",-38,"35,681"
593,Simon Property Group,"$5,116.80 ",11.10%,"$2,249.60 ",102.20%,"$33,777.40 ","$43,197.80 ",-33,"2,850"
594,Globe Life,"$5,112.90 ",7.90%,$745 ,1.80%,"$29,768 ","$9,977.30 ",-50,"3,222"
595,Skyworks Solutions,"$5,109.10 ",52.30%,"$1,498.30 ",83.90%,"$8,590.70 ","$21,547.50 ",95,"10,945"
596,Endeavor Group Holdings,"$5,077.70 ",46%,($296.60),-,"$11,434.50 ","$20,363.10 ",78,"7,700"
597,Twitter,"$5,077.50 ",36.60%,($221.40),-,"$14,059.50 ","$30,976.80 ",50,"7,500"
598,Leggett & Platt,"$5,072.60 ",18.50%,$402.40 ,62.50%,"$5,307.30 ","$4,659 ",-,"20,300"
599,Western Union,"$5,070.80 ",4.90%,$805.80 ,8.30%,"$8,823.50 ","$7,374.70 ",-58,"10,500"
600,PerkinElmer,"$5,067.20 ",34%,$943.20 ,29.60%,"$15,000.60 ","$22,009.40 ",39,"16,700"
601,SS&C Technologies Holdings,"$5,051 ",8.20%,$800 ,28%,"$17,333 ","$19,235.10 ",-49,"24,900"
602,CUNA Mutual Group,"$5,049.50 ",24.70%,$622.30 ,327.70%,"$44,345 ",-,13,"4,100"
603,FMC,"$5,045.20 ",8.70%,$736.50 ,33.50%,"$10,581.30 ","$16,563.80 ",-48,"6,400"
604,Carlisle,"$5,030 ",18.50%,$421.70 ,31.70%,"$7,246.80 ","$12,804.50 ",-5,"11,250"
605,American Eagle Outfitters,"$5,010.80 ",33.30%,$419.60 ,-,"$3,786.60 ","$2,836.60 ",37,"24,000"
606,Core & Main,"$5,004 ",37.40%,$166 ,348.60%,"$4,434 ","$5,948.80 ",-,"4,100"
607,Vertiv Holdings,"$4,998.10 ",14.40%,$119.60 ,-,"$6,939.60 ","$5,263.90 ",-17,"24,000"
608,Broadridge Financial Solutions,"$4,993.70 ",10.30%,$547.50 ,18.40%,"$8,119.80 ","$18,182.70 ",-40,"13,704"
609,Ingles Markets,"$4,987.90 ",8.20%,$249.70 ,39.80%,"$2,018.30 ","$1,691.40 ",-50,"18,460"
610,TPG,"$4,976.40 ",135.30%,"$2,180.90 ",198.10%,"$8,962 ","$9,304.90 ",-,"1,013"
611,Insperity,"$4,973.10 ",16%,$124.10 ,-10.20%,"$1,753.10 ","$3,849.80 ",-14,"3,600"
612,Howmet Aerospace,"$4,972 ",-5.50%,$258 ,-1.10%,"$10,219 ","$15,055.40 ",-105,"19,900"
613,R.R. Donnelley & Sons,"$4,963.70 ",-8.10%,$3.70 ,-96.20%,"$3,131.40 ",-,-114,"32,000"
614,Keysight Technologies,"$4,941 ",17.10%,$894 ,42.60%,"$7,781 ","$28,746.60 ",-13,"14,300"
615,Tempur Sealy International,"$4,930.80 ",34.10%,$624.50 ,79%,"$4,323.40 ","$4,997.70 ",37,"12,000"
616,Scotts Miracle-Gro,"$4,925 ",19.20%,$512.50 ,32.30%,"$4,800 ","$6,834.60 ",-9,"8,050"
617,Equifax,"$4,923.90 ",19.30%,$744.20 ,43.10%,"$11,040.90 ","$29,141.80 ",-9,"12,700"
618,Kelly Services,"$4,909.70 ",8.70%,$156.10 ,-,"$2,894.20 ",$856 ,-47,"7,400"
619,NiSource,"$4,899.60 ",4.70%,$584.90 ,-,"$24,156.90 ","$12,891.20 ",-70,"7,307"
620,OneMain Holdings,"$4,895 ",-,"$1,314 ",80%,"$22,079 ","$6,042.80 ",-84,"8,800"
621,DoorDash,"$4,888 ",69.40%,($468),-,"$6,809 ","$40,830.30 ",148,"8,600"
622,Avient,"$4,818.80 ",48.60%,$230.80 ,75.40%,"$4,997.20 ","$4,388.40 ",80,"8,700"
623,Sanderson Farms,"$4,799.70 ",34.70%,$455.10 ,1509.60%,"$2,345 ","$4,185.40 ",39,"17,662"
624,TransDigm Group,"$4,798 ",-7.40%,$680 ,-2.70%,"$19,315 ","$36,135.80 ",-108,"13,300"
625,Stifel Financial,"$4,783.10 ",25.30%,$824.90 ,63.80%,"$34,049.70 ","$7,226 ",8,"8,600"
626,JELD-WEN Holding,"$4,771.70 ",12.70%,$168.80 ,84.30%,"$3,738.70 ","$1,826 ",-26,"24,700"
627,Ares Management,"$4,770.60 ",122.80%,$408.80 ,168.70%,"$21,605.20 ","$23,821.10 ",-,"2,100"
628,Elanco Animal Health,"$4,765 ",45.60%,($472),-,"$16,483 ","$12,345.40 ",71,"9,800"
629,Prologis,"$4,759.40 ",7.20%,"$2,939.70 ",98.40%,"$58,486.20 ","$119,524.50 ",-45,"2,053"
630,Welltower,"$4,742.10 ",3%,$336.10 ,-65.70%,"$34,910.30 ","$43,001.50 ",-69,464
631,Darling Ingredients,"$4,741.40 ",32.70%,$650.90 ,119.30%,"$6,133.70 ","$12,987.40 ",29,"9,900"
632,Juniper Networks,"$4,735.40 ",6.50%,$252.70 ,-2%,"$8,887 ","$11,986.60 ",-50,"10,191"
633,Gartner,"$4,734 ",15.50%,$793.60 ,197.50%,"$7,416.30 ","$24,477.20 ",-21,"16,600"
634,Par Pacific Holdings,"$4,710.10 ",50.70%,($81.30),-,"$2,570.30 ",$783.30 ,91,"1,336"
635,Hubbell,"$4,703.50 ",12.40%,$399.50 ,13.80%,"$5,281.50 ","$9,959.60 ",-33,"18,300"
636,CME Group,"$4,689.70 ",-4%,"$2,636.40 ",25.20%,"$196,780.30 ","$85,492.30 ",-99,"3,480"
637,Nexstar Media Group,"$4,648.40 ",3.30%,$834.60 ,2.90%,"$13,264.50 ","$7,728.30 ",-61,"11,817"
638,Tutor Perini,"$4,641.80 ",-12.70%,$91.90 ,-15.20%,"$4,724.90 ",$551.80 ,-135,"7,800"
639,Antero Resources,"$4,619.40 ",32.30%,($186.90),-,"$13,896.50 ","$9,608 ",33,519
640,Teledyne Technologies,"$4,614.30 ",49.50%,$445.30 ,10.80%,"$14,430.30 ","$22,102.90 ",92,"14,500"
641,Snap-on,"$4,601.70 ",16.70%,$820.50 ,30.90%,"$6,759.70 ","$10,976.10 ",-18,"12,800"
642,Rent-A-Center,"$4,583.50 ",62.90%,$134.90 ,-35.20%,"$2,993.30 ","$1,486.90 ",138,"14,290"
643,Covetrus,"$4,575 ",5.40%,($54),-,"$3,410 ","$2,319.30 ",-50,"4,873"
644,Crestwood Equity Partners,"$4,569 ",102.70%,($78.50),-,"$4,445.70 ","$2,931.50 ",260,645
645,Louisiana-Pacific,"$4,553 ",63.30%,"$1,377 ",176%,"$2,194 ","$5,344.10 ",142,"4,800"
646,Urban Outfitters,"$4,548.80 ",31.90%,$310.60 ,25030.70%,"$3,791.30 ","$2,421.40 ",32,"16,330"
647,Penn Mutual Life Insurance,"$4,545.60 ",22.80%,$522.90 ,82.20%,"$44,190.90 ",-,2,"3,194"
648,Amerco,"$4,542 ",14.20%,$610.90 ,38.20%,"$14,651.60 ","$11,704.70 ",-28,"22,052"
649,TriNet Group,"$4,540 ",12.50%,$338 ,24.30%,"$3,309 ","$6,482.50 ",-31,"2,800"
650,Sentry Insurance Group,"$4,526.20 ",26.20%,$739.90 ,266.70%,"$23,880.50 ",-,8,"4,064"
651,Illumina,"$4,526 ",39.70%,$762 ,16.20%,"$15,217 ","$54,855.80 ",55,"10,775"
652,Iron Mountain,"$4,491.50 ",8.30%,$450.20 ,31.40%,"$14,450 ","$16,059.50 ",-47,"25,000"
653,LCI Industries,"$4,472.70 ",60%,$287.70 ,81.60%,"$3,288.10 ","$2,624.50 ",131,"13,900"
654,Marvell Technology,"$4,462.40 ",50.30%,($421),-,"$22,108.60 ","$60,795.70 ",-,"6,712"
655,PennyMac Financial Services,"$4,450.20 ",-1.90%,"$1,003.50 ",-39.10%,"$18,776.60 ","$2,948.50 ",-88,"7,208"
656,Digital Realty Trust,"$4,427.90 ",13.40%,"$1,709.30 ",379.60%,"$36,369.60 ","$40,337.70 ",-29,"3,030"
657,TreeHouse Foods,"$4,405.50 ",-3.60%,($12.50),-190.60%,"$5,207 ","$1,800 ",-93,"10,000"
658,Ralph Lauren,"$4,400.80 ",-28.60%,($121.10),-131.50%,"$7,887.50 ","$8,073.20 ",-208,"16,200"
659,Mattress Firm Group,"$4,392.90 ",34.90%,($165.10),-231.40%,"$3,539.10 ",-,-,"8,900"
660,American National Group,"$4,391.80 ",15.80%,$699.30 ,49.60%,"$31,320.30 ","$5,084.10 ",-24,"4,545"
661,Autodesk,"$4,386.40 ",15.70%,$497 ,-58.90%,"$8,606.80 ","$46,580 ",-24,"12,600"
662,Domino's Pizza,"$4,357.40 ",5.80%,$510.50 ,3.90%,"$1,671.80 ","$14,665.90 ",-52,"10,450"
663,ASGN,"$4,333.80 ",9.70%,$409.90 ,104.60%,"$3,502.80 ","$6,022.20 ",-41,"3,900"
664,Flowers Foods,"$4,330.80 ",-1.30%,$206.20 ,35.40%,"$3,253.30 ","$5,438.60 ",-76,"8,900"
665,BlueLinx Holdings,"$4,277.20 ",38.10%,$296.10 ,266.10%,"$1,317.50 ",$699.50 ,62,"2,045"
666,Palo Alto Networks,"$4,256.10 ",24.90%,($498.90),-,"$10,241.60 ","$61,307.50 ",16,"10,473"
667,Maximus,"$4,254.50 ",22.90%,$291.20 ,35.80%,"$4,119 ","$4,641.10 ",10,"35,800"
668,Dentsply Sirona,"$4,251 ",27.20%,$421 ,-,"$9,220 ","$10,708 ",23,"15,000"
669,Hub Group,"$4,232.40 ",21.10%,$171.50 ,133.10%,"$2,437.30 ","$2,678.50 ",2,"4,700"
670,Voya Financial,"$4,230 ",-53.70%,"$2,126 ",-,"$171,262 ","$7,042.20 ",-338,"5,970"
670,Bread Financial Holdings,"$4,230 ",-6.40%,$801 ,274.80%,"$21,746 ","$2,804.60 ",-101,"6,000"
672,Weis Markets,"$4,224.40 ",2.70%,$108.80 ,-8.50%,"$1,910.50 ","$1,921.10 ",-61,"24,000"
673,Century Communities,"$4,216.30 ",33.40%,$498.50 ,141.80%,"$3,496.90 ","$1,783.20 ",44,"1,600"
674,Synopsys,"$4,204.20 ",14.10%,$757.50 ,14%,"$8,752.30 ","$51,023.20 ",-23,"16,361"
675,Brink's,"$4,200.20 ",13.80%,$105.20 ,557.50%,"$5,566.70 ","$3,234.40 ",-25,"73,350"
676,Lennox International,"$4,194.10 ",15.40%,$464 ,30.20%,"$2,171.90 ","$9,447.20 ",-23,"11,000"
677,Service Corp. International,"$4,143.10 ",18%,$802.90 ,55.60%,"$15,691.20 ","$10,581.30 ",-7,"20,840"
678,Conduent,"$4,140 ",-0.60%,($28),-,"$4,036 ","$1,111.60 ",-74,"60,000"
